model,seed,QTLs,fst,mobility,current_fitness,future_fitness,causal_offset,causal_confounded_offset,empirical_confounded_offset,empirical_offset
m4.2,s100,100,0.35433033459485114,0.186255,0.997657,0.954331,0.021013178376302045,0.02283984233779505,NA,NA
m4.2,s100,100,0.35433033459485114,0.186255,0.944397,0.961655,5.154665478526937e-4,0.024857628153857714,NA,NA
m4.2,s100,100,0.35433033459485114,0.186255,0.99949,0.931896,0.024917982354647396,0.030532468360863797,NA,NA
m4.2,s100,100,0.35433033459485114,0.186255,0.970185,0.990082,0.0016493832004241267,0.022313357099617227,NA,NA
m4.2,s100,100,0.35433033459485114,0.186255,0.981534,0.804578,0.03263220911546608,0.03447842936721881,NA,NA
m4.2,s100,100,0.35433033459485114,0.186255,0.999972,0.839835,0.05371686459579271,0.0634860301279921,NA,NA
m4.2,s100,100,0.35433033459485114,0.186255,0.999806,0.914857,0.029249607236763904,0.029173036201681476,NA,NA
m4.2,s100,100,0.35433033459485114,0.186255,0.999607,0.909491,0.024917982354647396,0.030532468360863797,NA,NA
m4.2,s100,100,0.35433033459485114,0.186255,0.976901,0.938064,0.049393986571932204,0.0437014328541521,NA,NA
m4.2,s100,100,0.35433033459485114,0.186255,0.937925,0.794329,0.01542134514997566,0.016515077165136074,NA,NA
m4.2,s100,100,0.35433033459485114,0.186255,0.982234,0.999201,0.0033465848901669984,0.003035480585369108,NA,NA
m4.2,s100,100,0.35433033459485114,0.186255,0.998934,0.994848,0.0032787253162922204,0.019872451239408718,NA,NA
m4.2,s100,100,0.35433033459485114,0.186255,0.961661,0.804323,0.02170033597736447,0.020408944846477733,NA,NA
m4.2,s100,100,0.35433033459485114,0.186255,0.996463,0.971772,0.0036105296204231954,0.004403020032490901,NA,NA
m4.2,s100,100,0.35433033459485114,0.186255,0.998033,0.99528,0.0038422161652891178,0.03485305924964544,NA,NA
m4.2,s100,100,0.35433033459485114,0.186255,0.999425,0.97515,0.005440843457917726,0.01135475240457365,NA,NA
m4.2,s100,100,0.35433033459485114,0.186255,0.998545,0.987469,0.0016493832004241267,0.022313357099617227,NA,NA
m4.2,s100,100,0.35433033459485114,0.186255,0.997273,0.965665,0.005440843457917726,0.01135475240457365,NA,NA
m4.2,s100,100,0.35433033459485114,0.186255,0.994702,0.850324,0.03263220911546608,0.03447842936721881,NA,NA
m4.2,s100,100,0.35433033459485114,0.186255,0.996551,0.997949,5.442214926246064e-5,0.013219108340354817,NA,NA
m4.2,s100,100,0.35433033459485114,0.186255,0.973472,0.987131,7.550487363230649e-4,9.224865129527919e-4,NA,NA
m4.2,s100,100,0.35433033459485114,0.186255,0.989392,0.999152,0.0016493832004241267,0.022313357099617227,NA,NA
m4.2,s100,100,0.35433033459485114,0.186255,0.950785,0.995278,0.02583782489007493,0.021907073673870226,NA,NA
m4.2,s100,100,0.35433033459485114,0.186255,0.997357,0.996198,0.0038422161652891178,0.03485305924964544,NA,NA
m4.2,s100,100,0.35433033459485114,0.186255,0.990264,0.819604,0.03615087429483543,0.042027010005998997,NA,NA
m4.2,s100,100,0.35433033459485114,0.186255,0.961285,0.899231,0.004854813106984318,0.007275299047925968,NA,NA
m4.2,s100,100,0.35433033459485114,0.186255,0.992707,0.952545,0.028104946992546127,0.03874366927696746,NA,NA
m4.2,s100,100,0.35433033459485114,0.186255,0.946218,0.983428,0.03984118420291184,0.03375106298828386,NA,NA
m4.2,s100,100,0.35433033459485114,0.186255,0.978333,0.985341,2.104126147156716e-4,0.02451429760975824,NA,NA
m4.2,s100,100,0.35433033459485114,0.186255,0.955454,0.973684,7.550487363230649e-4,9.224865129527919e-4,NA,NA
m4.2,s100,100,0.35433033459485114,0.186255,0.997101,0.853972,0.03539018850704311,0.03149982250533664,NA,NA
m4.2,s100,100,0.35433033459485114,0.186255,0.986716,0.83442,0.02880159482652416,0.028110181276035828,NA,NA
m4.2,s100,100,0.35433033459485114,0.186255,0.997344,0.944611,0.010508501901787181,0.017218830744868078,NA,NA
m4.2,s100,100,0.35433033459485114,0.186255,0.997278,0.919869,0.0349343582056659,0.02950391761702642,NA,NA
m4.2,s100,100,0.35433033459485114,0.186255,0.973472,0.987131,7.550487363230649e-4,9.224865129527919e-4,NA,NA
m4.2,s100,100,0.35433033459485114,0.186255,0.990215,0.783767,0.046682567592668096,0.04533744947360709,NA,NA
m4.2,s100,100,0.35433033459485114,0.186255,0.984897,0.769172,0.045386332725381597,0.040628038923243466,NA,NA
m4.2,s100,100,0.35433033459485114,0.186255,0.986815,0.912639,0.010508501901787181,0.017218830744868078,NA,NA
m4.2,s100,100,0.35433033459485114,0.186255,0.981922,0.933528,0.004854813106984318,0.007275299047925968,NA,NA
m4.2,s100,100,0.35433033459485114,0.186255,0.989177,0.903362,0.05371686459579271,0.0634860301279921,NA,NA
m4.2,s100,100,0.35433033459485114,0.186255,0.998506,0.809784,0.0530988686226481,0.04590483004315811,NA,NA
m4.2,s100,100,0.35433033459485114,0.186255,0.969377,0.811482,0.023640532066085174,0.024122668352626078,NA,NA
m4.2,s100,100,0.35433033459485114,0.186255,0.994816,0.95438,0.024917982354647396,0.030532468360863797,NA,NA
m4.2,s100,100,0.35433033459485114,0.186255,0.994454,0.98645,5.350306205851447e-4,0.0032635191869909578,NA,NA
m4.2,s100,100,0.35433033459485114,0.186255,0.987204,0.990441,7.19016750629639e-5,0.0020226713204158794,NA,NA
m4.2,s100,100,0.35433033459485114,0.186255,0.999918,0.940008,0.017239370545409666,0.014538956304769002,NA,NA
m4.2,s100,100,0.35433033459485114,0.186255,0.991818,0.995816,2.0103546550809213e-4,3.2054256736659673e-4,NA,NA
m4.2,s100,100,0.35433033459485114,0.186255,0.993914,0.996083,7.19016750629639e-5,0.0020226713204158794,NA,NA
m4.2,s100,100,0.35433033459485114,0.186255,0.977266,0.746604,0.045386332725381597,0.040628038923243466,NA,NA
m4.2,s100,100,0.35433033459485114,0.186255,0.977044,0.99758,0.0031937618278942152,0.01578354414668219,NA,NA
m4.2,s100,100,0.35433033459485114,0.186255,0.986492,0.982866,6.612390828933115e-5,0.001212112535198098,NA,NA
m4.2,s100,100,0.35433033459485114,0.186255,0.999917,0.985779,0.004976253424806073,0.005793690569007752,NA,NA
m4.2,s100,100,0.35433033459485114,0.186255,0.986492,0.982866,6.612390828933115e-5,0.001212112535198098,NA,NA
m4.2,s100,100,0.35433033459485114,0.186255,0.999023,0.963914,0.014917969978906008,0.013918017574745542,NA,NA
m4.2,s100,100,0.35433033459485114,0.186255,0.999312,0.931938,0.025536867900632355,0.0480466585701685,NA,NA
m4.2,s100,100,0.35433033459485114,0.186255,0.994914,0.878105,0.025083339505256205,0.03323502269833622,NA,NA
m4.2,s100,100,0.35433033459485114,0.186255,0.999988,0.999664,6.612390828933115e-5,0.001212112535198098,NA,NA
m4.2,s100,100,0.35433033459485114,0.186255,0.962093,0.835965,0.01542134514997566,0.016515077165136074,NA,NA
m4.2,s100,100,0.35433033459485114,0.186255,0.999061,0.996493,0.002426794982853795,0.03143453422461332,NA,NA
m4.2,s100,100,0.35433033459485114,0.186255,0.97051,0.702955,0.0530988686226481,0.04590483004315811,NA,NA
