id,longitude,latitude,time,mean_2m_air_temperature,minimum_2m_air_temperature,maximum_2m_air_temperature,dewpoint_2m_temperature,total_precipitation,surface_pressure,mean_sea_level_pressure,u_component_of_wind_10m,v_component_of_wind_10m,site_id
199407,3.7183290819096246,43.80905325067007,1994-07-01,294.8113708496094,284.9540100097656,304.8909606933594,287.0325927734375,0.014935161918401718,94234.78125,101667.828125,0.7568534016609192,-0.6168885827064514,8
199408,3.7183290819096246,43.80905325067007,1994-08-01,293.9433898925781,285.2706298828125,304.8810119628906,287.4132385253906,0.028774868696928024,94118.515625,101555.046875,0.9709311723709106,-0.6799145936965942,8
199409,3.7183290819096246,43.80905325067007,1994-09-01,287.6145324707031,277.4458923339844,299.9451904296875,283.6490478515625,0.3451383709907532,93996.5078125,101531.109375,0.7699736952781677,-0.6144037842750549,8
199410,3.7183290819096246,43.80905325067007,1994-10-01,284.33258056640625,275.1361083984375,293.5946044921875,281.20660400390625,0.28088003396987915,94074.9921875,101656.375,0.20272614061832428,-0.5516668558120728,8
199411,3.7183290819096246,43.80905325067007,1994-11-01,282.69976806640625,276.26812744140625,291.4993591308594,280.49774169921875,0.2056971788406372,94379.7578125,102013.0859375,0.6578641533851624,-0.9146226644515991,8
199412,3.7183290819096246,43.80905325067007,1994-12-01,278.47027587890625,269.96588134765625,288.8901062011719,275.4902648925781,0.04710298776626587,94569.8046875,102338.40625,1.24815833568573,-1.432093620300293,8
199501,3.7183290819096246,43.80905325067007,1995-01-01,276.5508117675781,265.4433288574219,287.2193298339844,272.3779602050781,0.06686113029718399,94337.515625,102180.3984375,2.289564847946167,-2.0456371307373047,8
199502,3.7183290819096246,43.80905325067007,1995-02-01,279.8592224121094,270.5877380371094,289.2072448730469,276.0980529785156,0.05706927180290222,94233.4296875,101958.359375,2.068791389465332,-1.356493592262268,8
199503,3.7183290819096246,43.80905325067007,1995-03-01,278.8138732910156,271.20379638671875,291.5490417480469,272.8997497558594,0.02553342655301094,94075.0546875,101832.7109375,2.367757558822632,-1.9669833183288574,8
199504,3.7183290819096246,43.80905325067007,1995-04-01,282.9579772949219,274.6304016113281,294.0354919433594,276.32177734375,0.08243950456380844,93935.6015625,101566.84375,1.0815843343734741,-1.7223107814788818,8
199505,3.7183290819096246,43.80905325067007,1995-05-01,286.0331726074219,273.6436767578125,297.9150390625,279.02923583984375,0.049821145832538605,94041.8828125,101607.0625,0.7973001003265381,-0.773064911365509,8
199506,3.7183290819096246,43.80905325067007,1995-06-01,289.5205383300781,279.23809814453125,301.716064453125,281.5699157714844,0.029348507523536682,94053.921875,101559.2890625,1.2948737144470215,-1.6476833820343018,8
199507,3.7183290819096246,43.80905325067007,1995-07-01,294.2766418457031,284.5167541503906,304.7763671875,285.90081787109375,0.02415699139237404,94121.234375,101558.3984375,0.5208141207695007,-0.577174961566925,8
199508,3.7183290819096246,43.80905325067007,1995-08-01,292.4577941894531,280.4237060546875,303.4345397949219,285.64007568359375,0.06047230213880539,94133.0625,101598.6640625,1.2685390710830688,-1.6332013607025146,8
199509,3.7183290819096246,43.80905325067007,1995-09-01,286.46795654296875,276.6075744628906,296.53704833984375,281.56329345703125,0.2407199889421463,93913.5,101454.2890625,1.6607433557510376,-1.2716325521469116,8
199510,3.7183290819096246,43.80905325067007,1995-10-01,286.7495422363281,276.97552490234375,294.9622497558594,284.6719665527344,0.16791394352912903,94627.6640625,102196.4921875,-0.7261703014373779,0.200575053691864,8
199511,3.7183290819096246,43.80905325067007,1995-11-01,279.5800476074219,269.33526611328125,290.6565246582031,275.75640869140625,0.20504173636436462,94072.0859375,101769.890625,0.0096596609801054,-0.8987094163894653,8
199512,3.7183290819096246,43.80905325067007,1995-12-01,277.4089660644531,269.65313720703125,286.1260986328125,275.1724548339844,0.20432959496974945,93684.5390625,101407.3046875,0.3098907768726349,-0.8201912641525269,8
199601,3.7183290819096246,43.80905325067007,1996-01-01,279.1163330078125,271.7184753417969,284.70068359375,277.862548828125,0.438065767288208,93446.3671875,101130.421875,-1.6995108127593994,0.5078318119049072,8
199602,3.7183290819096246,43.80905325067007,1996-02-01,275.263916015625,266.38421630859375,283.826171875,271.4798889160156,0.18346072733402252,93605.2109375,101429.7265625,1.9524725675582886,-1.9570586681365967,8
199603,3.7183290819096246,43.80905325067007,1996-03-01,278.9107666015625,270.223876953125,291.9878234863281,273.5279235839844,0.0918574258685112,93712.8828125,101434.1640625,0.42796948552131653,-1.0369727611541748,8
199604,3.7183290819096246,43.80905325067007,1996-04-01,282.8025207519531,270.5361022949219,292.2524719238281,276.5505676269531,0.10521748661994934,93879.421875,101505.0234375,0.6134738326072693,-1.09614098072052,8
199605,3.7183290819096246,43.80905325067007,1996-05-01,285.67352294921875,276.65350341796875,297.979248046875,280.61456298828125,0.09640198200941086,93787.6328125,101349.1171875,0.8007540106773376,-0.5297062993049622,8
199606,3.7183290819096246,43.80905325067007,1996-06-01,290.55169677734375,280.7440490722656,300.9956359863281,284.5920104980469,0.08592495322227478,94415.5703125,101931.546875,0.9516976475715637,-1.2786210775375366,8
199607,3.7183290819096246,43.80905325067007,1996-07-01,291.931884765625,281.2903137207031,301.9607238769531,285.9447021484375,0.07392020523548126,94293.7421875,101776.0859375,1.091220498085022,-1.2219655513763428,8
199608,3.7183290819096246,43.80905325067007,1996-08-01,290.47467041015625,282.1313171386719,300.35870361328125,285.689208984375,0.08438512682914734,94138.5390625,101626.40625,1.1893192529678345,-1.1360232830047607,8
199609,3.7183290819096246,43.80905325067007,1996-09-01,286.16668701171875,277.32611083984375,297.20098876953125,280.60760498046875,0.12301722168922424,93844.6875,101376.359375,0.8874660730361938,-1.4623032808303833,8
199610,3.7183290819096246,43.80905325067007,1996-10-01,283.9201354980469,272.94207763671875,296.22467041015625,280.0276794433594,0.15899552404880524,94260.8203125,101878.75,1.3682178258895874,-1.6901965141296387,8
199611,3.7183290819096246,43.80905325067007,1996-11-01,279.4835510253906,271.4353942871094,291.0762023925781,276.8099365234375,0.20474910736083984,93812.4921875,101518.84375,1.8938902616500854,-1.2442409992218018,8
199612,3.7183290819096246,43.80905325067007,1996-12-01,277.8027648925781,264.46136474609375,285.2163391113281,275.7123718261719,0.3063841462135315,93412.0234375,101117.2890625,-0.7341388463973999,-0.5120922327041626,8
199701,3.7183290819096246,43.80905325067007,1997-01-01,276.48675537109375,267.387451171875,285.12762451171875,274.32177734375,0.1851358562707901,94125.609375,101903.8203125,-0.8186965584754944,-0.37032079696655273,8
199702,3.7183290819096246,43.80905325067007,1997-02-01,279.2529602050781,270.9594421386719,288.34881591796875,274.8724060058594,0.018889762461185455,94889.1328125,102665.296875,1.6275861263275146,-0.9909912943840027,8
199703,3.7183290819096246,43.80905325067007,1997-03-01,282.8721923828125,272.38165283203125,295.2791748046875,274.43402099609375,0.0007350267842411995,94706.3046875,102374.609375,1.5381814241409302,-1.919324517250061,8
199704,3.7183290819096246,43.80905325067007,1997-04-01,283.30517578125,272.9813537597656,295.5321350097656,273.6048583984375,0.019369063898921013,94118.65625,101751.78125,0.7416946291923523,-1.551204800605774,8
199705,3.7183290819096246,43.80905325067007,1997-05-01,286.9874267578125,274.9686584472656,300.7505798339844,281.37823486328125,0.07446213066577911,93987.6328125,101536.8203125,-0.27021917700767517,0.4705539345741272,8
199706,3.7183290819096246,43.80905325067007,1997-06-01,288.9473876953125,279.6567687988281,298.78594970703125,284.6012268066406,0.15859170258045197,93716.0546875,101208.9765625,1.0490999221801758,-0.4788862466812134,8
199707,3.7183290819096246,43.80905325067007,1997-07-01,291.66363525390625,282.5580749511719,302.049072265625,285.6972351074219,0.05891803652048111,94272.921875,101759.484375,1.4615954160690308,-1.5832231044769287,8
199708,3.7183290819096246,43.80905325067007,1997-08-01,293.3212890625,283.33123779296875,303.37188720703125,288.4306640625,0.08984434604644775,94237.4609375,101689.5625,0.14787708222866058,-0.056490227580070496,8
199709,3.7183290819096246,43.80905325067007,1997-09-01,289.6523132324219,278.2477722167969,299.28973388671875,284.5880126953125,0.04066921025514603,94485.5078125,101989.046875,0.15581408143043518,-0.4356880187988281,8
199710,3.7183290819096246,43.80905325067007,1997-10-01,285.2786560058594,269.24615478515625,300.12255859375,281.35516357421875,0.09337156265974045,94076.1484375,101639.578125,0.6613844037055969,-0.9929953217506409,8
199711,3.7183290819096246,43.80905325067007,1997-11-01,280.53717041015625,270.70538330078125,288.8243408203125,278.50732421875,0.28154563903808594,93392.953125,101012.6875,0.20491977035999298,-0.295318603515625,8
199712,3.7183290819096246,43.80905325067007,1997-12-01,277.63055419921875,269.57012939453125,286.7171936035156,274.65142822265625,0.24991878867149353,93806.9921875,101552.6015625,1.1074119806289673,-1.3109869956970215,8
199801,3.7183290819096246,43.80905325067007,1998-01-01,277.3392639160156,268.2232360839844,285.8164367675781,274.5534362792969,0.11809961497783661,94269.1796875,102060.625,0.5733932256698608,-0.787407398223877,8
199802,3.7183290819096246,43.80905325067007,1998-02-01,278.6652526855469,268.9259033203125,292.2478332519531,273.89605712890625,0.030035557225346565,94854.4921875,102610.1875,0.385067880153656,-1.0902398824691772,8
199803,3.7183290819096246,43.80905325067007,1998-03-01,280.46905517578125,270.5121154785156,292.0975646972656,273.4673156738281,0.02027582935988903,94554.796875,102297.03125,1.1072907447814941,-1.7557852268218994,8
199804,3.7183290819096246,43.80905325067007,1998-04-01,281.073974609375,271.38140869140625,294.8635559082031,277.1112365722656,0.16946327686309814,93284.875,100932.3359375,1.6232662200927734,-0.6001425385475159,8
199805,3.7183290819096246,43.80905325067007,1998-05-01,287.0161437988281,276.7025146484375,298.1544494628906,280.86029052734375,0.1216777116060257,93931.5234375,101469.09375,0.3361576497554779,-0.7826879620552063,8
199806,3.7183290819096246,43.80905325067007,1998-06-01,290.21466064453125,279.9498596191406,300.5700378417969,284.44140625,0.026168329641222954,94293.78125,101811.3359375,1.2011631727218628,-0.9236295819282532,8
199807,3.7183290819096246,43.80905325067007,1998-07-01,292.8363037109375,282.9347839355469,304.61273193359375,285.57666015625,0.03553072363138199,94112.1953125,101575.59375,2.033978223800659,-1.7503916025161743,8
199808,3.7183290819096246,43.80905325067007,1998-08-01,292.7574768066406,279.56939697265625,305.1436767578125,285.309814453125,0.04227437824010849,94295.484375,101759.78125,1.426285982131958,-1.7103937864303589,8
199809,3.7183290819096246,43.80905325067007,1998-09-01,288.0047607421875,279.9447021484375,298.61822509765625,283.64630126953125,0.17085561156272888,93884.8671875,101399.6640625,0.9536540508270264,-0.6451126337051392,8
